B365H,B365D,B365A,FTHG,FTAG
1.28,6.5,11,0,0
2.14,3.1,4.2,1,2
6,4.2,1.61,0,2
1.95,3.75,4,2,2
2,3.4,4.33,0,2
2.04,3.8,3.6,2,1
11,6,1.3,0,1
2.4,3.3,3.25,2,1
2.25,3.25,3.6,0,0
1.22,7,15,2,1
2.25,3.4,3.5,1,2
1.95,3.5,4.33,1,2
3.5,4,2.05,1,0
1.75,4,4.8,2,0
2.05,3.7,3.75,0,1
1.18,8,17,3,0
3.1,3.6,2.37,2,0
2.37,3.7,3,2,0
1.2,7.5,17,4,3
1.3,5.75,12,2,1
1.95,3.4,4.5,3,0
2.75,3.4,2.7,2,1
1.65,4,5.75,0,0
2.37,3.2,3.4,4,3
5.25,3.8,1.75,1,2
21,8.5,1.16,0,3
1.22,7,15,2,1
2.37,3.3,3.3,4,2
4,3.3,2.1,0,1
1.28,6,12,2,2
19,8,1.18,2,1
2.1,3.5,3.75,3,0
5.25,4.2,1.66,4,0
1.22,7,15,1,1
2.4,3.4,3.2,1,1
1.66,4,5.75,2,1
2.55,3.3,3,0,0
2.55,3.5,2.87,1,1
3.25,3.5,2.3,2,0
1.2,7.5,19,5,0
2.05,3.5,4,2,0
2.37,3.4,3.25,1,3
1.44,4.5,9,1,0
3.6,3.5,2.15,0,1
1.33,6,9,3,1
8,5.25,1.4,1,1
10,6.25,1.3,0,2
2.05,3.3,4.2,1,3
2.1,3.5,3.75,1,1
5.5,4.4,1.61,0,3
5.75,4.4,1.6,1,2
1.22,7.5,14,3,0
1.75,3.9,5,1,2
2.35,3.5,3.2,1,0
1.5,4.75,7,6,0
1.7,3.9,5.5,3,1
1.7,3.75,5.75,1,1
3.1,3.4,2.45,1,5
1.95,3.8,4,3,1
2.87,3.4,2.62,1,1
5.75,3.8,1.7,2,1
2.25,3.4,3.5,1,4
1.83,3.5,5.25,2,0
1.5,4.75,7,2,0
3.1,3.5,2.37,0,0
3.75,3.4,2.15,0,3
5,3.5,1.85,1,0
1.9,3.5,4.6,2,1
2.15,3.3,3.9,2,0
1.44,5,7.5,5,1
2.3,3.5,3.25,2,0
3.25,3.5,2.3,1,3
1.28,6,12,5,0
1.16,9,19,1,0
1.9,3.7,4.33,2,0
13,7.5,1.22,0,1
1.85,3.4,5.25,1,0
2.8,3.3,2.75,1,3
1.45,4.5,8.5,3,2
2.05,3.7,3.75,1,1
2.15,3.5,3.6,2,0
1.5,4.33,8,2,0
6,4.2,1.61,0,0
6.5,4.5,1.53,1,2
2.55,3.3,3,2,1
3.6,3.5,2.15,2,0
1.83,3.6,5,1,2
3.4,3.3,2.35,0,2
1.57,4.5,6,3,1
1.16,9,19,3,1
2.8,3.25,2.8,3,2
4.5,3.8,1.85,2,1
2.4,3.6,3,2,0
1.55,4.2,7,1,1
1.16,8.5,21,4,2
2.05,3.6,3.8,2,2
3.1,3.4,2.45,1,2
1.55,4.2,7,4,3
4,3.8,1.95,2,0
12,7,1.25,1,2
2.55,3.2,3.1,0,1
3.2,3.25,2.45,2,0
1.45,4.4,9,2,0
21,11,1.12,0,2
1.85,3.8,4.5,2,0
1.44,4.75,8,2,1
2.55,3.5,2.9,0,2
9,4.5,1.44,1,2
1.61,4.2,6,2,1
1.36,5.25,9.5,2,0
1.72,4,5,4,1
4,3.6,2,2,1
1.25,6.5,15,3,0
1.06,17,34,2,0
1.45,5,7.5,2,0
9,5,1.4,1,3
2.1,3.6,3.75,1,3
5,4,1.72,1,4
2.6,3.25,3,0,1
3,3.75,2.35,1,0
1.33,5.75,9.5,2,0
1.66,4,5.75,0,1
2.3,3.4,3.4,0,5
1.9,3.6,4.5,2,0
5,4,1.75,2,0
1.4,5.25,8.5,2,1
2.6,3.25,3,3,1
1.22,7,15,4,0
11,6,1.3,1,3
1.66,4.2,5.25,2,0
3.2,3.75,2.25,0,1
2,3.3,4.5,0,2
1.65,4.4,5.25,0,1
4.4,3.9,1.85,1,2
1.3,6,11,1,0
2.55,3.2,3.1,3,1
3.3,3.5,2.3,2,2
1.75,3.5,6,0,0
1.53,4.6,6.5,2,3
17,7.5,1.2,0,2
3.25,3.5,2.3,4,0
